,bladder,lymph_node,muscle,salivary_gland,spleen,testis,adipocyte,artery,bone,esophagus,skin,stomach,kidney,liver,nerve,lung,heart,bowel,brain,pancreas,pleurae,thyroid,vein
hsa-miR-149-5p,174.0495722,91.5044977,132.6167719,343.4361256,191.5976988,888.2617522,175.809408,386.5916546,59.34907959,793.744827,2780.484541,403.4132193,191.7296669,108.5854106,1158.800487,243.4088694,333.7066892,297.3319508,2637.879299,228.2814726,178.3141758,133.9682149,159.0959991
hsa-miR-181a-3p,8.419062236,19.85214245,9.665392299,12.52534941,46.29944467,30.65955561,30.04067929,12.15423307,35.32134917,13.27106289,32.11734163,13.73031454,31.85122299,16.90583008,71.53475492,45.39652905,21.51310156,14.82929055,144.8118585,13.26142934,20.53244749,28.61766333,10.31306125
hsa-miR-181a-5p,2842.349243,6225.311585,3682.990041,5340.877296,11613.56055,6801.355272,6668.494782,6802.46506,7685.673456,4433.492371,10419.21173,3805.89097,9109.249993,3441.320936,15844.2959,18076.07038,7100.655511,4802.961238,34953.2222,5960.223501,5317.972669,8569.096658,3936.376538
hsa-miR-181b-5p,421.3365083,2818.32923,556.2391964,962.1064853,2668.621405,1907.910028,1494.978276,1331.233002,1685.13252,834.9149892,1588.593466,771.5931166,1836.100951,690.2598924,3946.242672,3040.346598,1529.987861,822.6843703,8871.31429,1264.557101,1066.656331,1613.992033,764.5143942
hsa-miR-181c-3p,6.556650736,3.960487624,2.918580086,7.953194571,5.324224517,4.272871579,4.147571416,8.170848901,10.86157797,6.1398537,3.897245715,9.102798247,6.221139527,2.208060097,10.17418777,6.287379278,8.698115879,7.618536898,32.01507624,7.113737757,3.486664214,11.8058209,5.329497642
hsa-miR-181d-5p,100.2814899,33.19805633,32.5349033,119.4758865,36.30765308,50.18332975,55.45892652,149.6397591,49.60995269,64.12430907,56.49727083,77.97965565,39.95616041,22.88372809,96.95907072,103.8312036,138.0175782,42.9107464,344.375563,83.68024445,38.38464671,84.137017,55.86239001
hsa-miR-184,4.490853074,5.471465469,5.29180855,2.497175339,2.762289011,22.87336904,4.869106468,4.066982384,19.05121596,2.599862453,6.001583187,2.107046048,12.12762089,0.661055672,17.22988453,60.35132113,9.477667375,11.57309309,44.0804406,11.51215673,3.38544967,7.252552225,7.69817117
hsa-miR-1908-5p,1.380563562,2.904898141,0.884889314,1.503927236,2.007861174,13.50563961,6.705318754,2.201001922,3.165393979,1.68299528,1.354839599,1.869980507,1.692215177,4.299129396,7.398032539,4.471550793,2.499402797,1.25806953,14.30455499,0.911357531,2.329644982,1.012062193,1.384793712
hsa-miR-323a-3p,12.43416395,5.916959411,17.27618507,20.21491729,64.75735229,58.98239981,20.02640805,10.89269129,6.213138673,25.14275288,44.61103797,50.16583439,42.84983798,16.83605327,150.0143581,10.68716117,12.53494756,31.92138925,835.7002899,67.96874766,17.65533234,20.90690629,8.71164636
hsa-miR-323a-5p,0.087638679,0.083667717,0.430431601,0.363442508,2.161584074,1.634755643,0.626685779,0.352241702,0.228542618,0.6866116,1.130799641,0.949116888,0.656107813,0.379904676,2.260790949,0.365056781,0.26635472,0.887731828,32.1585884,1.750521593,0.562636497,0.350126925,0.203406611
hsa-miR-323b-3p,2.335048766,0.687546545,1.791947605,2.689821639,3.751130401,18.08438727,2.341132482,3.11955635,1.600648461,4.050783375,7.096622237,6.02233592,7.370421007,2.809952644,16.87884734,2.693211343,1.788830093,3.574523941,104.2610835,22.397574,2.461027111,2.999506987,1.605381593
hsa-miR-329-3p,6.93262493,2.740798768,6.184657545,12.68553836,12.98173001,11.73182905,4.03287373,6.773995685,2.055534423,5.822682518,5.844027026,12.84279823,4.624308152,6.886135616,16.14581481,3.850188612,4.451004784,7.994853646,120.887306,7.332567746,4.126471973,3.952421416,3.177889399
hsa-miR-329-5p,0.041311786,0.077921172,0.081700726,0.199716054,0.333808155,0.521713132,0.052012483,0.034234881,0.038611084,0.123564728,0.145966959,0.231376382,0.080312753,0.031043672,0.253775953,0.073939279,0.072257464,0.188997237,2.134962018,0.217995773,0.090814557,0.006689251,0.072899225
hsa-miR-330-3p,20.03060004,21.25190907,4.818478135,14.58189097,24.33445732,7.074155684,16.87736436,14.13266614,14.35683775,12.1879521,7.589104409,20.54917406,12.35632995,8.472201853,84.40395489,11.74651633,12.38643666,13.23968796,217.3947057,13.99783232,14.74631625,17.15211011,13.11513352
hsa-miR-330-5p,12.01137987,19.82347765,6.343311094,11.91886071,33.70945362,9.738306837,23.39410646,15.59262749,18.49910808,14.11101277,13.24425929,19.39774558,12.6495182,11.876447,98.78455168,20.46557817,15.31734586,15.53812673,253.3227977,23.0501506,19.88589672,15.57717418,13.28426546
hsa-miR-340-3p,36.41268137,19.41794232,50.88389802,77.22233101,18.3661659,19.8220768,51.80915823,18.82179354,31.92589736,31.92202335,39.91604384,37.60486434,11.05535168,60.46375793,141.6538779,46.12144572,45.6139484,27.17523731,154.7258152,26.06591309,48.04826325,13.49964069,24.1502335
hsa-miR-369-3p,64.1659002,36.99184208,165.6527747,146.0685593,178.2174878,163.7266138,48.19560474,66.79307848,55.49166572,58.32100584,94.85559029,90.28692597,152.5250734,94.79990247,118.7909229,47.18821044,59.60240299,79.26675965,439.4876221,162.4932661,83.87826556,65.27321029,61.84694027
hsa-miR-369-5p,73.5723874,37.37548491,137.1785439,190.5117439,147.1418508,399.9270135,97.20343861,120.2877108,48.94588252,93.32869723,229.4759942,118.471484,61.15771617,67.65775152,183.2425768,114.9664981,104.1311892,77.30547569,547.1052843,164.6249042,79.14207352,58.64521747,60.40539299
